Barrio;Municipio;Código postal;Prefijo telefónico
Abbey Wood;Greenwich;SE2;020
Acton;Ealing;W3, W4;020
Addington;Croydon;CR0;020
Addiscombe;Croydon;CR0;020
Aldborough Hatch;Redbridge;IG2;020
Aldgate;City;EC3;020
Aldwych;Westminster;WC2;020
Alperton;Brent;HA0;020
Anerley;Bromley;SE20;020
Aperfield;Bromley;TN16;01959
Archway;Islington;N19;020
Ardleigh Green;Havering;RM11;01708
Arkley;Barnet;EN5, NW7;020
Arnos Grove;Enfield;N11, N14;020
Balham;Wandsworth;SW12;020
Bankside;Southwark;SE1;020
Barbican;City;EC1;020
Barking;Barking and Dagenham;IG11;020
Barkingside;Redbridge;IG6;020
Barnehurst;Bexley;DA7;01322
Barnes;Richmond upon Thames;SW13;020
Barnes Cray;Bexley;DA1;01322
Barnet (también Chipping Barnet, High Barnet);Barnet;EN5;020
Barnsbury;Islington;N1;020
Battersea;Wandsworth;SW11;020
Bayswater;Wesminster;W2;020
Beckenham;Bromley;BR3, SE20;020
Beckton;Newham;E6, E16, IG11;020
Becontree;Barking and Dagenham;RM9;020
Becontree Heath;Barking and Dagenham;RM8;020
Beddington;Sutton;SM6, CR0;020
Bedford Park;Ealing;W4;020
Belgravia;Westminster;SW1;020
Bellingham;Lewisham;SE6;020
Belmont;Harrow;HA3, HA7;020
Belmont;Sutton;SM2;020
Belsize Park;Camden;NW3;020
Belvedere;Bexley;DA17;020
Bermondsey;Southwark;SE1;020
Berrylands;Kingston upon Thames;KT5;020
Bethnal Green;Tower Hamlets;E2;020
Bexley (también Old Bexley);Bexley;DA5;020
Bexleyheath (también Bexley New Town);Bexley;DA6, DA7;020
Bickley;Bromley;BR3;020
Biggin Hill;Bromley;TN16;01959
Blackfen;Bexley;DA15;020
Blackfriars;City;EC4;020
Blackheath;Lewisham;SE3;020
Blackwall;Tower Hamlets;E14;020
Bloomsbury;Camden;WC1;020
Botany Bay;Enfield;EN2;020
Bounds Green;Haringey;N11, N22;020
Bow;Tower Hamlets;E3;020
Bowes Park;Haringey;N22;020
Brentford;Hounslow;TW8;020
Brent Cross;Barnet;NW2, NW4;020
Brent Park;Brent;NW10;020
Brimsdown;Enfield;EN3;020
Brixton;Lambeth;SW2, SW9;020
Brockley;Lewisham;SE4;020
Bromley;Bromley;BR1;020
Bromley (también Bromley-by-Bow);Tower Hamlets;E3;020
Bromley Common;Bromley;BR3;020
Brompton;Kensington and Chelsea;SW3;020
Brondesbury;Brent;NW6;020
Brunswick Park;Barnet;N11;020
Bulls Cross;Enfield;EN2, EN3;020
Burnt Oak;Barnet;HA8;020
Burroughs, The;Barnet;NW4;020
Camberwell;Southwark;SE5;020
Cambridge Heath;Tower Hamlets;E2;020
Camden Town;Camden;NW1;020
Cann Hall;Waltham Forest;E11;020
Canning Town;Newham;E16;020
Canonbury;Islington;N1;020
Carshalton;Sutton;SM5;020
Castelnau;Richmond upon Thames;SW13;020
Catford;Lewisham;SE6;020
Chadwell Heath;Barking and Dagenham;RM6;020
Chalk Farm;Camden;NW1;020
Charing Cross;Westminster;WC2;020
Charlton;Greenwich;SE7;020
Chase Cross;Havering;RM5;01708
Cheam;Sutton;SM3;020
Chelsea;Kensington and Chelsea;SW3;020
Chelsfield;Bromley;BR6;01689
Chessington;Kingston upon Thames;KT9;020
Childs Hill;Barnet;NW2;020
Chinatown;Westminster;W1;020
Chingford;Waltham Forest;E4;020
Chislehurst;Bromley;BR7;020
Chiswick;Hounslow;W4;020
Church End;Brent;NW10;020
Church End;Barnet;N3;020
Clapham;Lambeth;SW4;020
Clerkenwell;Islington;EC1;020
Cockfosters;Barnet;EN4;020
Colindale;Barnet;NW9;020
Collier Row;Havering;RM5;01708
Colliers Wood;Merton;SW19;020
Colney Hatch;Barnet;N11, N10;020
Colyers;Bexley;DA8;01322
Coney Hall;Bromley;BR4;020
Coombe;Croydon;CR0;020
Coombe;Kingston upon Thames;KT2;020
Coulsdon;Croydon;CR5;020, 01737
Covent Garden;Westminster;WC2;020
Cowley;Hillingdon;UB8;01895
Cranford;Hounslow;TW5;020
Cranham;Havering;RM14;01708
Crayford;Bexley;DA1;01322
Creekmouth;Barking and Dagenham;IG11;020
Crews Hill;Enfield;EN2;020
Cricklewood;Barnet, Brent, Camden;NW2;020
Crofton Park;Lewisham;SE4;020
Crook Log;Bexley;DA6;020
Crouch End;Haringey;N8;020
Croydon;Croydon;CR0;020
Crystal Palace;Bromley;SE19, SE20, SE26;020
Cubitt Town;Tower Hamlets;E14;020
Cudham;Bromley;TN14;01959
Custom House;Newham;E16;020
Dagenham;Barking and Dagenham;RM9, RM10;020
Dalston;Hackney;E8;020
Dartmouth Park;Camden;NW5;020
De Beauvoir Town;Islington;N1;020
Denmark Hill;Southwark;SE5;020
Deptford;Lewisham;SE8;020
Dollis Hill;Brent;NW2;020
Downe;Bromley;BR6;01689
Downham;Bromley;BR1;020
Dulwich;Southwark;SE21;020
Ealing;Ealing;W5, W13;020
Earls Court;Kensington and Chelsea;SW5, SW10;020
Earlsfield;Wandsworth;SW18;020
East Barnet;Barnet;EN4;020
East Bedfont;Hounslow;TW14;020
East Dulwich;Southwark;SE22;020
East Finchley;Barnet;N2;020
East Ham;Newham;E6;020
East Sheen;Richmond upon Thames;SW14;020
Eastcote;Hillingdon;HA5, HA4;020
Eden Park;Bromley;BR3;020
Edgware;Barnet;HA8;020
Edmonton;Enfield;N9, N18;020
Eel Pie Island;Richmond upon Thames;TW1;020
Elephant and Castle;Southwark;SE1, SE11, SE17;020
Elm Park;Havering;RM12;01708
Elmers End;Bromley;BR3;020
Elmstead;Bromley;BR7;020
Eltham;Greenwich;SE9;020
Emerson Park;Havering;RM11;01708
Enfield Highway;Enfield;EN3;020
Enfield Lock;Enfield;EN3;01992
Enfield Town;Enfield;EN1, EN2;020
Enfield Wash;Enfield;EN3;020
Erith;Bexley;DA8, DA18;01322
Falconwood;Bexley;SE9, DA16;020
Farringdon;Islington & City;EC1;020
Feltham;Hounslow;TW13, TW14;020
Finchley;Barnet;N2, N3, N12;020
Finsbury;Islington;EC1;020
Finsbury Park;Haringey;N4;020
Fitzrovia;Camden;W1;020
Foots Cray;Bexley;DA14;020
Forest Gate;Newham;E7;020
Forest Hill;Lewisham;SE23;020
Forestdale;Croydon;CR0;020
Fortis Green;Haringey;N10;020
Freezywater;Enfield;EN3;020
